stim_on_time_ms,stim_off_time_ms,stim_on_delay_ms,stimulus_size_degrees,fixation_window_size_degrees,fixation_point_size_degrees,stim_id,stim_current,stimulus_presented,fixation_correct,stimulus_order_in_trial,samp_on_us,photodiode_on_us
100.0,100.0,300.0,8,2,0.2,b-031,8,49,0,1,247677900,247687150
100.0,100.0,300.0,8,2,0.2,b-031,8,49,1,1,251796700,251777600
100.0,100.0,300.0,8,2,0.2,a-000,4,50,1,2,252131200,252128500
100.0,100.0,300.0,8,2,0.2,a-028,40,51,1,3,252464850,252454950
100.0,100.0,300.0,8,2,0.2,d-000,40,52,1,4,252800550,252800650
100.0,100.0,300.0,8,2,0.2,b-000,40,53,1,5,253131900,253121000
100.0,100.0,300.0,8,2,0.2,a-022,48,54,1,6,253455000,253472850
100.0,100.0,300.0,8,2,0.2,d-008,48,55,1,7,253787700,253800200
100.0,100.0,300.0,8,2,0.2,a-024,40,56,1,8,254120950,254121150
100.0,100.0,300.0,8,2,0.2,d-016,4,57,1,1,263774500,263760950
100.0,100.0,300.0,8,2,0.2,a-016,24,58,1,2,264110050,264113000
100.0,100.0,300.0,8,2,0.2,a-031,8,59,1,3,264443800,264433950
100.0,100.0,300.0,8,2,0.2,d-025,40,60,1,4,264776200,264786150
100.0,100.0,300.0,8,2,0.2,b-031,48,61,1,5,265109100,265104350
100.0,100.0,300.0,8,2,0.2,b-000,24,62,1,6,265443500,265457600
100.0,100.0,300.0,8,2,0.2,d-005,48,63,1,7,265776000,265777000
100.0,100.0,300.0,8,2,0.2,d-008,24,64,1,8,266110300,266097500
100.0,100.0,300.0,8,2,0.2,a-024,48,65,1,1,273922350,273925050
100.0,100.0,300.0,8,2,0.2,d-016,16,66,1,2,274257050,274258500
100.0,100.0,300.0,8,2,0.2,d-000,16,67,1,3,274592050,274577550
100.0,100.0,300.0,8,2,0.2,a-031,4,68,1,4,274925750,274930350
100.0,100.0,300.0,8,2,0.2,d-025,4,69,1,5,275260150,275246950
100.0,100.0,300.0,8,2,0.2,a-028,48,70,1,6,275593150,275588800
100.0,100.0,300.0,8,2,0.2,d-018,48,71,1,7,275926050,275941900
100.0,100.0,300.0,8,2,0.2,a-022,4,72,1,8,276256300,276260850
100.0,100.0,300.0,8,2,0.2,a-016,48,73,1,1,286104600,286111150
100.0,100.0,300.0,8,2,0.2,d-010,48,74,1,2,286437350,286440150
100.0,100.0,300.0,8,2,0.2,a-000,16,75,1,3,286770500,286755450
100.0,100.0,300.0,8,2,0.2,d-005,16,76,1,4,287103700,287103050
100.0,100.0,300.0,8,2,0.2,d-008,4,77,1,5,287437950,287455550
100.0,100.0,300.0,8,2,0.2,d-025,16,78,1,6,287770250,287774600
100.0,100.0,300.0,8,2,0.2,b-031,40,79,1,7,288106600,288108200
100.0,100.0,300.0,8,2,0.2,d-018,40,80,0,8,288438100,288453900
100.0,100.0,300.0,8,2,0.2,d-018,40,80,1,1,296144050,296149100
100.0,100.0,300.0,8,2,0.2,b-000,8,81,1,2,296476300,296469050
100.0,100.0,300.0,8,2,0.2,d-016,8,82,1,3,296829000,296820350
100.0,100.0,300.0,8,2,0.2,a-028,24,83,1,4,297163950,297146900
100.0,100.0,300.0,8,2,0.2,a-000,32,84,1,5,297491150,297492700
100.0,100.0,300.0,8,2,0.2,a-022,32,85,0,6,297828700,297812700
100.0,100.0,300.0,8,2,0.2,a-022,32,85,0,1,307537050,307547550
100.0,100.0,300.0,8,2,0.2,a-022,32,85,0,1,309653800,309640450
100.0,100.0,300.0,8,2,0.2,a-022,32,85,1,1,463178200,463174600
100.0,100.0,300.0,8,2,0.2,a-024,8,86,1,2,463512600,463499750
100.0,100.0,300.0,8,2,0.2,d-000,4,87,0,3,463843200,463845900
100.0,100.0,300.0,8,2,0.2,d-000,4,87,1,1,485351150,485351000
100.0,100.0,300.0,8,2,0.2,d-010,32,88,1,2,485684650,485693300
100.0,100.0,300.0,8,2,0.2,a-031,48,89,1,3,486018050,486020600
100.0,100.0,300.0,8,2,0.2,a-016,4,90,1,4,486351550,486339750
100.0,100.0,300.0,8,2,0.2,d-018,32,91,1,5,486685200,486684350
100.0,100.0,300.0,8,2,0.2,d-016,24,92,0,6,487018800,487016000
100.0,100.0,300.0,8,2,0.2,d-016,24,92,1,1,498240600,498223350
100.0,100.0,300.0,8,2,0.2,b-031,4,93,1,2,498571750,498575800
100.0,100.0,300.0,8,2,0.2,a-028,4,94,1,3,498911500,498897350
100.0,100.0,300.0,8,2,0.2,a-024,32,95,1,4,499241700,499228850
100.0,100.0,300.0,8,2,0.2,d-000,8,96,1,5,499573600,499568300
100.0,100.0,300.0,8,2,0.2,d-008,40,98,1,7,500241200,500243150
100.0,100.0,300.0,8,2,0.2,a-022,16,99,1,8,500575100,500559300
100.0,100.0,300.0,8,2,0.2,a-031,16,100,1,1,510250900,510252650
100.0,100.0,300.0,8,2,0.2,d-025,48,101,1,2,510585100,510571400
100.0,100.0,300.0,8,2,0.2,d-005,8,103,1,4,511250900,511243500
100.0,100.0,300.0,8,2,0.2,d-018,24,2,1,8,512588050,512590050
100.0,100.0,300.0,8,2,0.2,d-000,48,3,1,1,520306000,520300700
100.0,100.0,300.0,8,2,0.2,a-031,24,4,1,2,520642100,520625750
100.0,100.0,300.0,8,2,0.2,d-008,8,5,1,3,520992350,521005200
100.0,100.0,300.0,8,2,0.2,d-010,4,6,1,4,521327150,521324700
100.0,100.0,300.0,8,2,0.2,d-005,24,7,1,5,521658850,521645700
100.0,100.0,300.0,8,2,0.2,a-000,24,8,1,6,521991500,521997900
100.0,100.0,300.0,8,2,0.2,a-016,32,9,1,7,522330600,522316550
100.0,100.0,300.0,8,2,0.2,a-028,16,10,1,8,522659150,522669100
100.0,100.0,300.0,8,2,0.2,a-022,40,11,1,1,530600600,530596000
100.0,100.0,300.0,8,2,0.2,d-025,32,12,1,2,530933850,530947000
100.0,100.0,300.0,8,2,0.2,b-000,16,13,1,3,531267250,531267750
100.0,100.0,300.0,8,2,0.2,b-031,32,14,1,4,531600900,531587900
100.0,100.0,300.0,8,2,0.2,a-024,24,15,1,5,531934250,531939200
100.0,100.0,300.0,8,2,0.2,d-010,8,16,1,6,532267900,532269200
100.0,100.0,300.0,8,2,0.2,a-000,48,17,1,7,532602250,532591200
100.0,100.0,300.0,8,2,0.2,a-016,8,18,1,8,532934550,532935150
100.0,100.0,300.0,8,2,0.2,d-016,40,19,1,1,540638400,540626100
100.0,100.0,300.0,8,2,0.2,a-022,24,20,1,2,540973650,540977700
100.0,100.0,300.0,8,2,0.2,d-025,24,21,1,3,541310950,541298000
100.0,100.0,300.0,8,2,0.2,d-008,16,22,1,4,541641100,541659250
100.0,100.0,300.0,8,2,0.2,a-031,32,23,1,5,541975600,541969150
100.0,100.0,300.0,8,2,0.2,b-031,16,24,1,6,542308950,542321650
100.0,100.0,300.0,8,2,0.2,b-000,48,25,1,7,542641650,542641550
100.0,100.0,300.0,8,2,0.2,d-005,40,26,1,8,542975900,542961400
100.0,100.0,300.0,8,2,0.2,a-028,32,27,1,1,554451600,554437750
100.0,100.0,300.0,8,2,0.2,d-018,16,28,1,2,554785350,554782100
100.0,100.0,300.0,8,2,0.2,a-024,16,29,1,3,555118600,555133100
100.0,100.0,300.0,8,2,0.2,d-000,32,30,1,4,555453150,555454200
100.0,100.0,300.0,8,2,0.2,d-025,8,31,1,5,555786150,555773450
100.0,100.0,300.0,8,2,0.2,a-016,40,32,1,6,556119950,556124950
100.0,100.0,300.0,8,2,0.2,d-010,16,33,1,7,556453000,556456500
100.0,100.0,300.0,8,2,0.2,b-000,32,34,1,8,556787600,556774300
100.0,100.0,300.0,8,2,0.2,b-031,24,35,1,1,564709200,564699100
100.0,100.0,300.0,8,2,0.2,d-005,4,36,0,2,565044300,565038450
100.0,100.0,300.0,8,2,0.2,d-005,4,36,1,1,572568950,572574500
100.0,100.0,300.0,8,2,0.2,d-018,4,37,1,2,572900450,572894750
100.0,100.0,300.0,8,2,0.2,a-024,4,38,1,3,573239800,573219650
100.0,100.0,300.0,8,2,0.2,d-000,24,39,1,4,573566750,573566900
100.0,100.0,300.0,8,2,0.2,a-000,8,40,1,5,573902300,573887650
100.0,100.0,300.0,8,2,0.2,d-008,32,41,1,6,574234450,574219400
100.0,100.0,300.0,8,2,0.2,a-028,8,42,1,7,574569300,574570950
100.0,100.0,300.0,8,2,0.2,d-016,48,43,1,8,574901950,574889700
100.0,100.0,300.0,8,2,0.2,a-031,40,44,1,1,582757200,582742100
100.0,100.0,300.0,8,2,0.2,a-022,8,45,1,2,583091050,583085700
100.0,100.0,300.0,8,2,0.2,d-005,32,46,1,3,583426500,583439000
100.0,100.0,300.0,8,2,0.2,d-010,24,47,1,4,583758300,583759600
100.0,100.0,300.0,8,2,0.2,d-018,8,48,1,5,584093850,584079350
100.0,100.0,300.0,8,2,0.2,b-031,8,49,1,6,584425750,584431400
100.0,100.0,300.0,8,2,0.2,a-000,4,50,1,7,584760850,584761850
100.0,100.0,300.0,8,2,0.2,a-028,40,51,1,8,585096100,585101950
100.0,100.0,300.0,8,2,0.2,d-000,40,52,1,1,594684700,594676550
